16, 136
57, 136
98, 136
139, 136
180, 136
221, 136
262, 136
303, 136
344, 136
385, 136
426, 136
467, 136
508, 136
549, 136
590, 136
16, 196
57, 196
98, 196
139, 196
180, 196
221, 196
262, 196
303, 196
344, 196
385, 196
426, 196
467, 196
16, 256
57, 256
98, 256
139, 256
180, 256
221, 256
262, 256
303, 256
344, 256
385, 256
426, 256
467, 256
16, 336
57, 336
98, 336
139, 336
180, 336
221, 336
262, 336
303, 336
344, 336
385, 336
426, 336
467, 336
508, 336
549, 336
590, 336
16, 581
57, 581
98, 581
139, 581
180, 581
221, 581
262, 581
303, 581
344, 581
385, 581
426, 581
467, 581
508, 581
549, 581
590, 581
16, 666
57, 666
98, 666
139, 666
180, 666
221, 666
262, 666
303, 666
344, 666
385, 666
426, 666
467, 666
16, 495
57, 495
111, 495
152, 495
206, 495
247, 495
288, 495
329, 495
497, 766
538, 766
646, 219
687, 219
728, 219
769, 219
810, 219
851, 219
892, 219
933, 219
974, 219
1015, 219
1056, 219
1097, 219
1138, 219
1179, 219
1220, 219
646, 293
687, 293
728, 293
769, 293
810, 293
851, 293
892, 293
933, 293
974, 293
1015, 293
1056, 293
1097, 293
1138, 293
1179, 293
1220, 293
1076, 407
1117, 407
1301, 466
1342, 466
1383, 466
1424, 466
1465, 466
1506, 466
1547, 466
1588, 466
1629, 466
1670, 466
1711, 466
1752, 466
1331, 701
1415, 701
1456, 701
1497, 701
1538, 701
1579, 701
1620, 701
1661, 701
1745, 701
