6, 33, 45, 33, 3, black
27, 45, 55, 45, 2, black
27, 44, 27, 75, 2, black
1860, 17, 1898, 17, 3, black
1898, 17, 1898, 65, 3, black
1900, 20, 1900, 848, 2, black
10, 823, 10, 850 , 1.5, black
625, 795, 625, 825, 2, black
597, 824, 625, 824, 2, black
1213, 492, 1240, 492, 2, black
1240, 461, 1240, 493, 2, black
1200, 820, 1230, 820, 2, black
1230, 790, 1230, 821, 2, black
1285, 625, 1315, 625, 2, black
1285, 624, 1285, 655, 2, black
1875, 815, 1845, 815, 2, black
1875, 816, 1875, 785, 2, black
92, 516, 110, 516, 1, #FC3D39
187, 516, 205, 516, 1, #FC3D39
1366, 721.5, 1414, 721.5, 1, #FC3D39
1696, 721.5, 1744, 721.5, 1, #FC3D39
6, 100, 1820, 100, 2, #FC3D39
635, 25, 635, 854, 2, #FC3D39
1265, 25, 1265, 850, 2, #FC3D39
1820, 100, 1820, 850, 2, #FC3D39
6, 305, 635, 305, 2, #FC3D39
6, 385, 635, 385, 2, #FC3D39
6, 465, 635, 465, 2, #FC3D39
6, 545, 635, 545, 2, #FC3D39
6, 720, 635, 720, 2, #FC3D39
520, 185, 1265, 185, 2, #FC3D39
520, 185, 520, 305, 2, #FC3D39
200, 385, 200, 465, 2, #FC3D39
405, 385, 405, 465, 2, #FC3D39
395, 720, 395, 850, 2, #FC3D39
635, 133, 1265, 133, 2, #FC3D39
825, 133, 825, 185, 2, #FC3D39
1000, 133, 1000, 185, 2, #FC3D39
635, 345, 1265, 345, 2, #FC3D39
635, 497, 1265, 497, 2, #FC3D39
635, 600, 1820, 600, 2, #FC3D39
635, 733, 1265, 733, 2, #FC3D39
945, 600, 945, 850, 2, #FC3D39
1265, 284, 1820, 284, 2, #FC3D39
1265, 422, 1820, 422, 2, #FC3D39
1265, 422, 1820, 422, 2, #FC3D39
1005, 345, 1005, 497, 2, #FC3D39
